PCXXX(36:4)_[M+Cl]1-,PC,816.5316,0.000,0.000,0.000,0.000,0.000,0.568,0.000,0.000,,0.000,0.835,0.000,0.000,0.000,1.070,2.089,0.324,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(36:4)_[M+OAC]1- ,PC,840.576,3.552,1.579,0.000,0.000,0.000,0.000,0.979,0.000,,1.217,0.000,1.107,0.000,0.957,0.000,0.457,0.506,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(36:6)_[M+OAC]1- ,PC,836.5447,0.000,2.120,0.000,0.000,1.612,0.000,0.000,0.000,,0.000,0.429,0.000,0.000,0.000,0.000,2.506,6.479,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(36:7)_[M+OAC]1- ,PC,834.5291,2.407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,10.702,0.000,0.000,0.612,0.000,53.435,81.227,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(36:8)_[M+OAC]1- ,PC,832.5134,1.853,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.199,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(37:2)_[M+Cl]1-,PC,834.5785,0.000,2.092,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.356,0.000,0.000,0.746,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(37:2)_[M+OAC]1- ,PC,858.623,0.000,0.000,1.268,0.000,0.000,0.000,1.708,0.000,,0.000,0.000,0.635,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(37:3)_[M+Cl]1-,PC,832.5629,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.451,0.000,0.000,0.000,0.000,0.543,0.237,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(37:4)_[M+OAC]1- ,PC,854.5917,0.000,1.334,0.000,0.000,0.000,18.115,0.000,2.115,,0.740,7.005,0.560,3.559,0.730,0.000,5.048,0.742,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(37:5)_[M+OAC]1- ,PC,852.576,0.000,0.000,0.000,0.995,0.000,0.000,0.000,0.000,,0.000,0.460,0.000,0.000,0.000,0.000,0.857,0.175,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(37:6)_[M+OAC]1- ,PC,850.5604,0.000,1.458,1.833,0.000,0.000,3.557,1.159,0.000,,0.000,3.855,0.000,0.000,0.000,0.000,6.009,1.720,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(37:7)_[M+Cl]1-,PC,824.5003,1.521,0.000,0.000,1.536,0.000,0.000,0.000,1.976,,0.000,0.000,0.565,2.649,0.612,0.000,0.000,0.220,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(37:7)_[M+OAC]1- ,PC,848.5447,0.000,0.000,0.000,0.000,0.000,0.000,2.262,1.711,,0.000,0.000,0.000,4.095,0.000,0.000,0.000,0.227,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(38:0)_[M+Cl]1-,PC,852.6255,0.000,0.000,0.000,1.008,23.831,0.000,0.000,0.000,,0.000,0.000,0.000,3.730,0.000,0.000,0.000,0.000,1.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(38:0)_[M+OAC]1-,PC,876.6699,0.000,0.000,0.000,0.000,1.053,0.000,0.000,0.000,,0.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
