,,Data ID,307_P1_G10_vastus_18C36_PWD_lean_0.mzXML,339_P1_H02_vastus_18C37_PWD_lean_0.mzXML,293_P1_G03_vastus_18C40_PWD_lean_0.mzXML,253_P1_F07_vastus_18C41_PWD_lean_0.mzXML,255_P1_F08_vastus_18C42_PWD_lean_0.mzXML,059_P1_B06_vastus_NPC1_PWD_lean_0.mzXML,205_P1_E07_vastus_NPC2_PWD_lean_0.mzXML,289_P1_G01_vastus_NPC3_PWD_lean_0.mzXML,049_P1_B01_vastus_RC59_PWD_lean_0.mzXML,303_P1_G08_vastus_18F50_PWD_obese_0.mzXML,201_P1_E05_vastus_18F52_PWD_obese_0.mzXML,117_P1_C11_vastus_18F54_PWD_obese_0.mzXML,211_P1_E10_vastus_18F55_PWD_obese_0.mzXML,149_P1_D03_vastus_18F57_PWD_obese_0.mzXML,151_P1_D04_vastus_NPF1_PWD_obese_0.mzXML,215_P1_E12_vastus_NPF2_PWD_obese_0.mzXML
,,Sample ID,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD
,,Compartment,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas
,,Handling,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
,,96wPL No.,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1
,,Address,G10,H02,G03,F07,F08,B06,E07,G01,B01,G08,E05,C11,E10,D03,D04,E12
Lipid variable,Category,m/z,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2
PCXXX(38:05)_[M+H]1+,PC,808.5856,16.397,4.967,22.957,15.518,5.816,25.304,26.498,1.226,18.191,16.378,0,18.916,0,12.698,0,7.029
PCXXX(38:06)_[M+H]1+,PC,806.57,32.697,14.995,44.33,32.358,14.963,92.963,132.49,19.845,80.354,43.799,0.399,62.047,0.07,28.421,0,30.396
PCXXX(40:04)_[M+H]1+,PC,838.6326,0,0,0,0,0,0,0.142,0,0,0,0,0.065,0,0,0,0
PCXXX(40:07)_[M+H]1+,PC,832.5851,0.136,0,0.1,0.109,0.154,2.388,1.633,0.189,0,0.117,0,1.025,0.074,0,0,0.508
PCXXX(40:08)_[M+H]1+,PC,830.5694,0,0.192,0.09,0.473,0.094,1.229,0.782,0.149,0,0,0,0.266,0.177,0,0,0.12
PCXXX(40:10)_[M+H]1+,PC,826.5381,0,0,0,3.913,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(42:04)_[M+H]1+,PC,866.6633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(44:00)_[M+H]1+,PC,902.7578,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0
PC-OX(35:03)_[M+H]1+,PC-O,756.5902,0,0,0,0,0,0,0.113,0,0,0,0.111,0,0,0.073,0,0
PC-OX(20:01)_[M+H]1+,PC-O,550.3867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC-OX(26:03)_[M+H]1+,PC-O,630.4498,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0,0,0
PC-OX(32:00)_[M+H]1+,PC-O,720.5902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC-OX(32:01)_[M+H]1+,PC-O,718.575,0,0,0.094,0.1,0,0,0.246,0,0.212,0,0,0,0,0,0.248,0
PC-OX(34:01)_[M+H]1+,PC-O,746.6063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC-OX(34:02)_[M+H]1+,PC-O,744.5902,0,0,0,1.494,0,0,0,0.105,0,0,0,0,0,0,0,0
PC-OX(34:03)_[M+H]1+,PC-O,742.575,0.141,0,0.109,0,0,0.023,0,0,0,0,0,0,0,0.721,0,0
PC-OX(36:01)_[M+H]1+,PC-O,774.6376,0,0,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0
PC-OX(36:02)_[M+H]1+,PC-O,772.6215,0,0,0,0,0,0,0,0,0,0,0,0,4.457,0.062,0,0
PC-OX(36:03)_[M+H]1+,PC-O,770.6058,0,0,0,0,0,0.094,0.119,0.101,0,0,0,0,0.092,0,0,0
PC-OX(36:05)_[M+H]1+,PC-O,766.5745,0.597,0,0.334,0.195,0,0.123,0.28,0,0,0.328,1.852,2.953,0,1.433,3.421,0.083
PC-OX(37:03)_[M+H]1+,PC-O,784.622,0,0,0.087,0.183,0,0.106,0.145,0,0.184,0,0,0,0,0,0.221,0
PC-OX(38:04)_[M+H]1+,PC-O,796.6215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC-OX(39:06)_[M+H]1+,PC-O,806.6063,0.448,0,0.293,0.641,0,0.415,0.533,0,0,0.073,0,0.229,0,0.151,0.171,0.031
PC-OX(40:04)_[M+H]1+,PC-O,824.6528,0,0,0,0,0,0,0,0.107,0,0,0,0,0,0,0,0
PC-OX(40:08)_[M+H]1+,PC-O,816.5907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC-OX(41:04)_[M+H]1+,PC-O,838.6689,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0,0,0
PC-OX(42:05)_[M+H]1+,PC-O,850.6689,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.068,0,0
PC-OX(42:09)_[M+H]1+,PC-O,842.6063,0,0,0,0,0,0.02,0.123,0,0,0,0,0,0,0.007,0,0
PC-OX(42:10)_[M+H]1+,PC-O,840.5907,0,0,0,0.1,0,0.03,0.103,0,0,0,0,0,0,0.037,0,0
PC-OX(42:11)_[M+H]1+,PC-O,838.575,0,0,0,0.831,0,0,0.182,0,0,0,0,0,0,0,0,0
PC-OX(44:07)_[M+H]1+,PC-O,874.6689,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEXXX(32:06)_[M+H]1+,PE,680.4291,99.56,81.963,57.518,66.44,131.388,16.765,54.462,98.015,50.502,76.57,184.145,45.147,11.081,68.106,162.543,19.984
PEXXX(34:00)_[M+H]1+,PE,720.5543,0,0,0,0,0,0.13,0,0,0.265,0,0,0.485,0,0,0,0
PEXXX(34:01)_[M+H]1+,PE,718.5387,0,0,0,0.329,0,0.081,0,0,0,0,0,0.101,0,0,0.088,0
PEXXX(36:00)_[M+H]1+,PE,748.5856,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0.034,0,0
PEXXX(36:02)_[M+H]1+,PE,744.5543,0,0,0.094,0.547,0,0.122,0,0,0.152,0,0,0.778,0.058,0.127,0,0.033
PEXXX(38:01)_[M+H]1+,PE,774.6013,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0,0,0
PEXXX(38:02)_[M+H]1+,PE,772.5857,0,0,0,0,0,0,0,0.108,0,0,0,0.07,0.02,0,0,0
PEXXX(40:10)_[M+H]1+,PE,784.4912,0,0.077,0,0.481,0,0,0,0.081,0,0,0,0,0,0,0,0
PEXXX(42:03)_[M+H]1+,PE,826.632,0,0.073,0,0,0,0.051,0.252,0,0,0,0,0,0,0,0,0
PEXXX(42:09)_[M+H]1+,PE,814.5381,0.115,0,0,0.152,0.003,0.024,0,0,0,0,0,0.068,0,0,0,0
